index,occupation,type,energy_Eh,energy_eV,alpha_energy_eV,beta_energy_eV
0,2,DOMO,-14.599558,-397.274,,
1,2,DOMO,-10.404156,-283.111,,
2,2,DOMO,-10.404155,-283.111,,
3,2,DOMO,-10.404141,-283.111,,
4,2,DOMO,-10.404122,-283.111,,
5,2,DOMO,-10.404094,-283.11,,
6,2,DOMO,-10.404054,-283.109,,
7,2,DOMO,-10.404045,-283.108,,
8,2,DOMO,-10.40404,-283.108,,
9,2,DOMO,-10.404023,-283.108,,
10,2,DOMO,-10.403982,-283.107,,
11,2,DOMO,-10.403979,-283.107,,
12,2,DOMO,-10.403972,-283.106,,
13,2,DOMO,-10.403972,-283.106,,
14,2,DOMO,-10.403926,-283.105,,
15,2,DOMO,-10.403923,-283.105,,
16,2,DOMO,-10.403916,-283.105,,
17,2,DOMO,-10.403908,-283.105,,
18,2,DOMO,-10.403884,-283.104,,
19,2,DOMO,-10.403862,-283.103,,
20,2,DOMO,-10.403845,-283.103,,
21,2,DOMO,-10.403843,-283.103,,
22,2,DOMO,-10.403839,-283.103,,
23,2,DOMO,-10.403829,-283.103,,
24,2,DOMO,-10.403822,-283.102,,
25,2,DOMO,-10.403821,-283.102,,
26,2,DOMO,-10.403808,-283.102,,
27,2,DOMO,-10.4038,-283.102,,
28,2,DOMO,-10.403796,-283.102,,
29,2,DOMO,-10.403795,-283.102,,
30,2,DOMO,-10.403785,-283.101,,
31,2,DOMO,-10.403505,-283.094,,
32,2,DOMO,-10.403498,-283.094,,
33,2,DOMO,-10.403489,-283.093,,
34,2,DOMO,-10.403471,-283.093,,
35,2,DOMO,-10.403468,-283.093,,
36,2,DOMO,-10.403456,-283.092,,
37,2,DOMO,-10.403389,-283.091,,
38,2,DOMO,-10.403388,-283.091,,
39,2,DOMO,-10.403383,-283.09,,
40,2,DOMO,-10.403358,-283.09,,
41,2,DOMO,-10.403356,-283.09,,
42,2,DOMO,-10.403349,-283.09,,
43,2,DOMO,-10.403341,-283.089,,
44,2,DOMO,-10.403331,-283.089,,
45,2,DOMO,-10.403312,-283.089,,
46,2,DOMO,-10.403295,-283.088,,
47,2,DOMO,-10.403285,-283.088,,
48,2,DOMO,-10.403274,-283.087,,
49,2,DOMO,-10.403267,-283.087,,
50,2,DOMO,-10.40323,-283.086,,
51,2,DOMO,-10.403208,-283.086,,
52,2,DOMO,-10.403205,-283.086,,
53,2,DOMO,-10.403195,-283.085,,
54,2,DOMO,-10.403112,-283.083,,
55,2,DOMO,-10.403104,-283.083,,
56,2,DOMO,-10.403094,-283.083,,
57,2,DOMO,-10.403082,-283.082,,
58,2,DOMO,-10.403077,-283.082,,
59,2,DOMO,-10.403072,-283.082,,
60,2,DOMO,-10.40307,-283.082,,
61,2,DOMO,-1.112995,-30.286,,
62,2,DOMO,-1.092632,-29.732,,
63,2,DOMO,-1.092607,-29.731,,
64,2,DOMO,-1.092599,-29.731,,
65,2,DOMO,-1.053653,-28.671,,
66,2,DOMO,-1.053622,-28.671,,
67,2,DOMO,-1.053611,-28.67,,
68,2,DOMO,-1.053605,-28.67,,
69,2,DOMO,-1.053589,-28.67,,
70,2,DOMO,-1.012529,-27.552,,
71,2,DOMO,-1.012503,-27.552,,
72,2,DOMO,-1.012482,-27.551,,
73,2,DOMO,-0.979197,-26.645,,
74,2,DOMO,-0.979194,-26.645,,
75,2,DOMO,-0.979191,-26.645,,
76,2,DOMO,-0.979171,-26.645,,
77,2,DOMO,-0.926586,-25.214,,
78,2,DOMO,-0.926575,-25.213,,
79,2,DOMO,-0.926573,-25.213,,
80,2,DOMO,-0.926558,-25.213,,
81,2,DOMO,-0.926557,-25.213,,
82,2,DOMO,-0.908635,-24.725,,
83,2,DOMO,-0.908624,-24.725,,
84,2,DOMO,-0.908618,-24.725,,
85,2,DOMO,-0.908598,-24.724,,
86,2,DOMO,-0.848119,-23.078,,
87,2,DOMO,-0.848104,-23.078,,
88,2,DOMO,-0.848098,-23.078,,
89,2,DOMO,-0.848096,-23.078,,
90,2,DOMO,-0.848092,-23.078,,
91,2,DOMO,-0.835776,-22.743,,
92,2,DOMO,-0.835765,-22.742,,
93,2,DOMO,-0.835764,-22.742,,
94,2,DOMO,-0.792098,-21.554,,
95,2,DOMO,-0.792097,-21.554,,
96,2,DOMO,-0.792097,-21.554,,
97,2,DOMO,-0.76876,-20.919,,
98,2,DOMO,-0.750318,-20.417,,
99,2,DOMO,-0.750315,-20.417,,
100,2,DOMO,-0.750304,-20.417,,
101,2,DOMO,-0.750302,-20.417,,
102,2,DOMO,-0.750285,-20.416,,
103,2,DOMO,-0.746276,-20.307,,
104,2,DOMO,-0.746271,-20.307,,
105,2,DOMO,-0.746253,-20.307,,
106,2,DOMO,-0.725136,-19.732,,
107,2,DOMO,-0.679167,-18.481,,
108,2,DOMO,-0.67916,-18.481,,
109,2,DOMO,-0.679151,-18.481,,
110,2,DOMO,-0.679149,-18.481,,
111,2,DOMO,-0.649654,-17.678,,
112,2,DOMO,-0.649647,-17.678,,
113,2,DOMO,-0.649643,-17.678,,
114,2,DOMO,-0.649638,-17.678,,
115,2,DOMO,-0.649628,-17.677,,
116,2,DOMO,-0.634667,-17.27,,
117,2,DOMO,-0.634666,-17.27,,
118,2,DOMO,-0.634664,-17.27,,
119,2,DOMO,-0.61096,-16.625,,
120,2,DOMO,-0.607579,-16.533,,
121,2,DOMO,-0.607575,-16.533,,
122,2,DOMO,-0.607574,-16.533,,
123,2,DOMO,-0.590518,-16.069,,
124,2,DOMO,-0.590501,-16.068,,
125,2,DOMO,-0.590492,-16.068,,
126,2,DOMO,-0.580022,-15.783,,
127,2,DOMO,-0.580003,-15.783,,
128,2,DOMO,-0.579985,-15.782,,
129,2,DOMO,-0.579984,-15.782,,
130,2,DOMO,-0.558087,-15.186,,
131,2,DOMO,-0.558083,-15.186,,
132,2,DOMO,-0.558082,-15.186,,
133,2,DOMO,-0.55808,-15.186,,
134,2,DOMO,-0.558073,-15.186,,
135,2,DOMO,-0.542816,-14.771,,
136,2,DOMO,-0.542809,-14.771,,
137,2,DOMO,-0.542802,-14.77,,
138,2,DOMO,-0.542783,-14.77,,
139,2,DOMO,-0.538488,-14.653,,
140,2,DOMO,-0.538471,-14.653,,
141,2,DOMO,-0.53846,-14.652,,
142,2,DOMO,-0.538458,-14.652,,
143,2,DOMO,-0.538447,-14.652,,
144,2,DOMO,-0.531217,-14.455,,
145,2,DOMO,-0.531204,-14.455,,
146,2,DOMO,-0.531187,-14.454,,
147,2,DOMO,-0.5106,-13.894,,
148,2,DOMO,-0.510591,-13.894,,
149,2,DOMO,-0.510591,-13.894,,
150,2,DOMO,-0.510567,-13.893,,
151,2,DOMO,-0.471959,-12.843,,
152,2,DOMO,-0.471934,-12.842,,
153,2,DOMO,-0.471927,-12.842,,
154,2,DOMO,-0.464811,-12.648,,
155,2,DOMO,-0.464803,-12.648,,
156,2,DOMO,-0.464793,-12.648,,
157,2,DOMO,-0.464792,-12.648,,
158,2,DOMO,-0.46479,-12.648,,
159,2,DOMO,-0.452651,-12.317,,
160,2,DOMO,-0.452643,-12.317,,
161,2,DOMO,-0.452635,-12.317,,
162,2,DOMO,-0.452628,-12.317,,
163,2,DOMO,-0.452137,-12.303,,
164,2,DOMO,-0.452127,-12.303,,
165,2,DOMO,-0.452122,-12.303,,
166,2,DOMO,-0.452116,-12.303,,
167,2,DOMO,-0.452102,-12.302,,
168,2,DOMO,-0.369345,-10.05,,
169,2,DOMO,-0.369333,-10.05,,
170,2,DOMO,-0.369325,-10.05,,
171,2,DOMO,-0.369313,-10.05,,
172,2,DOMO,-0.362626,-9.868,,
173,2,DOMO,-0.362625,-9.868,,
174,2,DOMO,-0.362612,-9.867,,
175,2,DOMO,-0.36261,-9.867,,
176,2,DOMO,-0.362593,-9.867,,
177,2,DOMO,-0.30482,-8.295,,
178,2,DOMO,-0.304801,-8.294,,
179,2,DOMO,-0.304797,-8.294,,
180,2,DOMO,-0.304795,-8.294,,
181,2,DOMO,-0.304794,-8.294,,
182,1,SOMO,-0.251248,-6.837,-13.339,-0.335
183,1,SOMO,-0.251245,-6.837,-13.339,-0.335
184,1,SOMO,-0.251244,-6.837,-13.339,-0.335
185,0,VMO,-0.074044,-2.015,,
186,0,VMO,-0.074034,-2.015,,
187,0,VMO,-0.074032,-2.015,,
188,0,VMO,-0.018731,-0.51,,
189,0,VMO,-0.01872,-0.509,,
190,0,VMO,-0.018709,-0.509,,
191,0,VMO,0.024218,0.659,,
192,0,VMO,0.024226,0.659,,
193,0,VMO,0.024228,0.659,,
194,0,VMO,0.02953,0.804,,
195,0,VMO,0.029531,0.804,,
196,0,VMO,0.029538,0.804,,
197,0,VMO,0.029543,0.804,,
198,0,VMO,0.029551,0.804,,
199,0,VMO,0.106928,2.91,,
200,0,VMO,0.106946,2.91,,
201,0,VMO,0.106948,2.91,,
202,0,VMO,0.106962,2.911,,
203,0,VMO,0.106964,2.911,,
204,0,VMO,0.126136,3.432,,
205,0,VMO,0.126146,3.433,,
206,0,VMO,0.126149,3.433,,
207,0,VMO,0.126153,3.433,,
208,0,VMO,0.128272,3.49,,
209,0,VMO,0.158021,4.3,,
210,0,VMO,0.158022,4.3,,
211,0,VMO,0.158032,4.3,,
212,0,VMO,0.158037,4.3,,
213,0,VMO,0.159138,4.33,,
214,0,VMO,0.15915,4.331,,
215,0,VMO,0.159154,4.331,,
216,0,VMO,0.183102,4.982,,
217,0,VMO,0.18311,4.983,,
218,0,VMO,0.183113,4.983,,
219,0,VMO,0.191169,5.202,,
220,0,VMO,0.191175,5.202,,
221,0,VMO,0.191186,5.202,,
222,0,VMO,0.191198,5.203,,
223,0,VMO,0.1912,5.203,,
224,0,VMO,0.198554,5.403,,
225,0,VMO,0.198555,5.403,,
226,0,VMO,0.198567,5.403,,
227,0,VMO,0.216693,5.897,,
228,0,VMO,0.21672,5.897,,
229,0,VMO,0.216721,5.897,,
230,0,VMO,0.216736,5.898,,
231,0,VMO,0.216736,5.898,,
232,0,VMO,0.219076,5.961,,
233,0,VMO,0.219094,5.962,,
234,0,VMO,0.21911,5.962,,
235,0,VMO,0.220155,5.991,,
236,0,VMO,0.220307,5.995,,
237,0,VMO,0.22036,5.996,,
238,0,VMO,0.220445,5.999,,
239,0,VMO,0.23187,6.309,,
240,0,VMO,0.231888,6.31,,
241,0,VMO,0.231893,6.31,,
242,0,VMO,0.234027,6.368,,
243,0,VMO,0.23405,6.369,,
244,0,VMO,0.234087,6.37,,
245,0,VMO,0.234114,6.371,,
246,0,VMO,0.240826,6.553,,
247,0,VMO,0.265859,7.234,,
248,0,VMO,0.26596,7.237,,
249,0,VMO,0.265992,7.238,,
250,0,VMO,0.26604,7.239,,
251,0,VMO,0.266163,7.243,,
252,0,VMO,0.266167,7.243,,
253,0,VMO,0.266174,7.243,,
254,0,VMO,0.268346,7.302,,
255,0,VMO,0.268356,7.302,,
256,0,VMO,0.268381,7.303,,
257,0,VMO,0.268388,7.303,,
258,0,VMO,0.268409,7.304,,
259,0,VMO,0.284332,7.737,,
260,0,VMO,0.284387,7.739,,
261,0,VMO,0.284394,7.739,,
262,0,VMO,0.284418,7.739,,
263,0,VMO,0.288417,7.848,,
264,0,VMO,0.288438,7.849,,
265,0,VMO,0.288559,7.852,,
266,0,VMO,0.288571,7.852,,
267,0,VMO,0.288614,7.854,,
268,0,VMO,0.293204,7.978,,
269,0,VMO,0.293211,7.979,,
270,0,VMO,0.293212,7.979,,
271,0,VMO,0.293238,7.979,,
272,0,VMO,0.293247,7.98,,
273,0,VMO,0.29337,7.983,,
274,0,VMO,0.293376,7.983,,
275,0,VMO,0.293384,7.983,,
276,0,VMO,0.297474,8.095,,
277,0,VMO,0.311309,8.471,,
278,0,VMO,0.311312,8.471,,
279,0,VMO,0.31132,8.471,,
280,0,VMO,0.311597,8.479,,
281,0,VMO,0.31161,8.479,,
282,0,VMO,0.311612,8.479,,
283,0,VMO,0.347262,9.449,,
284,0,VMO,0.347275,9.45,,
285,0,VMO,0.347285,9.45,,
286,0,VMO,0.363105,9.881,,
287,0,VMO,0.363115,9.881,,
288,0,VMO,0.363119,9.881,,
289,0,VMO,0.365052,9.934,,
290,0,VMO,0.365057,9.934,,
291,0,VMO,0.365153,9.936,,
292,0,VMO,0.365154,9.936,,
293,0,VMO,0.365169,9.937,,
294,0,VMO,0.367061,9.988,,
295,0,VMO,0.367209,9.992,,
296,0,VMO,0.367382,9.997,,
297,0,VMO,0.367472,9.999,,
298,0,VMO,0.367481,10.0,,
299,0,VMO,0.382849,10.418,,
300,0,VMO,0.382881,10.419,,
301,0,VMO,0.382883,10.419,,
302,0,VMO,0.38291,10.42,,
303,0,VMO,0.382931,10.42,,
304,0,VMO,0.388646,10.576,,
305,0,VMO,0.388888,10.582,,
306,0,VMO,0.38918,10.59,,
307,0,VMO,0.389285,10.593,,
308,0,VMO,0.389364,10.595,,
309,0,VMO,0.393002,10.694,,
310,0,VMO,0.394004,10.721,,
311,0,VMO,0.394707,10.741,,
312,0,VMO,0.394821,10.744,,
313,0,VMO,0.396092,10.778,,
314,0,VMO,0.396686,10.794,,
315,0,VMO,0.397461,10.815,,
316,0,VMO,0.404796,11.015,,
317,0,VMO,0.4048,11.015,,
318,0,VMO,0.404803,11.015,,
319,0,VMO,0.423061,11.512,,
320,0,VMO,0.423136,11.514,,
321,0,VMO,0.423159,11.515,,
322,0,VMO,0.423201,11.516,,
323,0,VMO,0.451176,12.277,,
324,0,VMO,0.451181,12.277,,
325,0,VMO,0.451182,12.277,,
326,0,VMO,0.462534,12.586,,
327,0,VMO,0.46254,12.586,,
328,0,VMO,0.462547,12.587,,
329,0,VMO,0.462548,12.587,,
330,0,VMO,0.462551,12.587,,
331,0,VMO,0.472445,12.856,,
332,0,VMO,0.472449,12.856,,
333,0,VMO,0.472461,12.856,,
334,0,VMO,0.472474,12.857,,
335,0,VMO,0.475536,12.94,,
336,0,VMO,0.475799,12.947,,
337,0,VMO,0.47581,12.947,,
338,0,VMO,0.475812,12.947,,
339,0,VMO,0.475819,12.948,,
340,0,VMO,0.475821,12.948,,
341,0,VMO,0.476154,12.957,,
342,0,VMO,0.476439,12.965,,
343,0,VMO,0.477579,12.996,,
344,0,VMO,0.477582,12.996,,
345,0,VMO,0.477582,12.996,,
346,0,VMO,0.487208,13.258,,
347,0,VMO,0.487219,13.258,,
348,0,VMO,0.487236,13.258,,
349,0,VMO,0.487252,13.259,,
350,0,VMO,0.487261,13.259,,
351,0,VMO,0.51988,14.147,,
352,0,VMO,0.520143,14.154,,
353,0,VMO,0.520218,14.156,,
354,0,VMO,0.520372,14.16,,
355,0,VMO,0.53331,14.512,,
356,0,VMO,0.533312,14.512,,
357,0,VMO,0.533331,14.513,,
358,0,VMO,0.534399,14.542,,
359,0,VMO,0.534423,14.542,,
360,0,VMO,0.534434,14.543,,
361,0,VMO,0.53451,14.545,,
362,0,VMO,0.538444,14.652,,
363,0,VMO,0.538481,14.653,,
364,0,VMO,0.5385,14.653,,
365,0,VMO,0.540809,14.716,,
366,0,VMO,0.540814,14.716,,
367,0,VMO,0.540818,14.716,,
368,0,VMO,0.54082,14.716,,
369,0,VMO,0.540821,14.716,,
370,0,VMO,0.564328,15.356,,
371,0,VMO,0.564385,15.358,,
372,0,VMO,0.564405,15.358,,
373,0,VMO,0.564436,15.359,,
374,0,VMO,0.56577,15.395,,
375,0,VMO,0.565775,15.396,,
376,0,VMO,0.565778,15.396,,
377,0,VMO,0.566037,15.403,,
378,0,VMO,0.566052,15.403,,
379,0,VMO,0.566066,15.403,,
380,0,VMO,0.566068,15.403,,
381,0,VMO,0.56613,15.405,,
382,0,VMO,0.574163,15.624,,
383,0,VMO,0.57427,15.627,,
384,0,VMO,0.574305,15.628,,
385,0,VMO,0.576127,15.677,,
386,0,VMO,0.576134,15.677,,
387,0,VMO,0.576136,15.677,,
388,0,VMO,0.576143,15.678,,
389,0,VMO,0.585468,15.931,,
390,0,VMO,0.592256,16.116,,
391,0,VMO,0.592454,16.121,,
392,0,VMO,0.592549,16.124,,
393,0,VMO,0.592596,16.125,,
394,0,VMO,0.593083,16.139,,
395,0,VMO,0.593275,16.144,,
396,0,VMO,0.593374,16.147,,
397,0,VMO,0.597176,16.25,,
398,0,VMO,0.59725,16.252,,
399,0,VMO,0.597287,16.253,,
400,0,VMO,0.597313,16.254,,
401,0,VMO,0.624575,16.996,,
402,0,VMO,0.624593,16.996,,
403,0,VMO,0.624612,16.997,,
404,0,VMO,0.624638,16.997,,
405,0,VMO,0.624649,16.998,,
406,0,VMO,0.634032,17.253,,
407,0,VMO,0.634235,17.258,,
408,0,VMO,0.634298,17.26,,
409,0,VMO,0.634328,17.261,,
410,0,VMO,0.639143,17.392,,
411,0,VMO,0.639155,17.392,,
412,0,VMO,0.639249,17.395,,
413,0,VMO,0.639313,17.397,,
414,0,VMO,0.639328,17.397,,
415,0,VMO,0.643315,17.505,,
416,0,VMO,0.643336,17.506,,
417,0,VMO,0.643349,17.506,,
418,0,VMO,0.643361,17.507,,
419,0,VMO,0.643366,17.507,,
420,0,VMO,0.653689,17.788,,
421,0,VMO,0.653718,17.789,,
422,0,VMO,0.653753,17.79,,
423,0,VMO,0.657758,17.898,,
424,0,VMO,0.657775,17.899,,
425,0,VMO,0.657806,17.9,,
426,0,VMO,0.662664,18.032,,
427,0,VMO,0.662669,18.032,,
428,0,VMO,0.662691,18.033,,
429,0,VMO,0.662711,18.033,,
430,0,VMO,0.662733,18.034,,
431,0,VMO,0.664983,18.095,,
432,0,VMO,0.665029,18.096,,
433,0,VMO,0.665032,18.096,,
434,0,VMO,0.665048,18.097,,
435,0,VMO,0.66549,18.109,,
436,0,VMO,0.665504,18.109,,
437,0,VMO,0.665505,18.109,,
438,0,VMO,0.674385,18.351,,
439,0,VMO,0.674456,18.353,,
440,0,VMO,0.674544,18.355,,
441,0,VMO,0.674567,18.356,,
442,0,VMO,0.67471,18.36,,
443,0,VMO,0.675136,18.371,,
444,0,VMO,0.675143,18.372,,
445,0,VMO,0.675153,18.372,,
446,0,VMO,0.714725,19.449,,
447,0,VMO,0.715058,19.458,,
448,0,VMO,0.715189,19.461,,
449,0,VMO,0.716603,19.5,,
450,0,VMO,0.716829,19.506,,
451,0,VMO,0.716915,19.508,,
452,0,VMO,0.723152,19.678,,
453,0,VMO,0.723466,19.687,,
454,0,VMO,0.723613,19.691,,
455,0,VMO,0.723646,19.691,,
456,0,VMO,0.723702,19.693,,
457,0,VMO,0.723811,19.696,,
458,0,VMO,0.723949,19.7,,
459,0,VMO,0.724034,19.702,,
460,0,VMO,0.724069,19.703,,
461,0,VMO,0.730931,19.89,,
462,0,VMO,0.731198,19.897,,
463,0,VMO,0.731213,19.897,,
464,0,VMO,0.731319,19.9,,
465,0,VMO,0.731327,19.9,,
466,0,VMO,0.731668,19.91,,
467,0,VMO,0.751144,20.44,,
468,0,VMO,0.751154,20.44,,
469,0,VMO,0.751165,20.44,,
470,0,VMO,0.75287,20.487,,
471,0,VMO,0.753855,20.513,,
472,0,VMO,0.75428,20.525,,
473,0,VMO,0.754761,20.538,,
474,0,VMO,0.765015,20.817,,
475,0,VMO,0.76534,20.826,,
476,0,VMO,0.765973,20.843,,
477,0,VMO,0.766079,20.846,,
478,0,VMO,0.766497,20.857,,
479,0,VMO,0.766589,20.86,,
480,0,VMO,0.767007,20.871,,
481,0,VMO,0.767171,20.876,,
482,0,VMO,0.767469,20.884,,
483,0,VMO,0.767658,20.889,,
484,0,VMO,0.771373,20.99,,
485,0,VMO,0.771533,20.994,,
486,0,VMO,0.771599,20.996,,
487,0,VMO,0.771718,21.0,,
488,0,VMO,0.785908,21.386,,
489,0,VMO,0.785971,21.387,,
490,0,VMO,0.78616,21.393,,
491,0,VMO,0.801588,21.812,,
492,0,VMO,0.807791,21.981,,
493,0,VMO,0.813891,22.147,,
494,0,VMO,0.813962,22.149,,
495,0,VMO,0.814033,22.151,,
496,0,VMO,0.816755,22.225,,
497,0,VMO,0.816763,22.225,,
498,0,VMO,0.816768,22.225,,
499,0,VMO,0.828587,22.547,,
500,0,VMO,0.828691,22.55,,
501,0,VMO,0.8287,22.55,,
502,0,VMO,0.828738,22.551,,
503,0,VMO,0.83016,22.59,,
504,0,VMO,0.83041,22.597,,
505,0,VMO,0.830666,22.604,,
506,0,VMO,0.835842,22.744,,
507,0,VMO,0.839355,22.84,,
508,0,VMO,0.839365,22.84,,
509,0,VMO,0.839368,22.84,,
510,0,VMO,0.840837,22.88,,
511,0,VMO,0.842726,22.932,,
512,0,VMO,0.845429,23.005,,
513,0,VMO,0.852325,23.193,,
514,0,VMO,0.852331,23.193,,
515,0,VMO,0.852337,23.193,,
516,0,VMO,0.852341,23.193,,
517,0,VMO,0.852349,23.194,,
518,0,VMO,0.855302,23.274,,
519,0,VMO,0.856058,23.295,,
520,0,VMO,0.856435,23.305,,
521,0,VMO,0.85686,23.316,,
522,0,VMO,0.859192,23.38,,
523,0,VMO,0.859292,23.383,,
524,0,VMO,0.859398,23.385,,
525,0,VMO,0.871104,23.704,,
526,0,VMO,0.871719,23.721,,
527,0,VMO,0.872891,23.753,,
528,0,VMO,0.874619,23.8,,
529,0,VMO,0.875204,23.816,,
530,0,VMO,0.875627,23.827,,
531,0,VMO,0.877137,23.868,,
532,0,VMO,0.879768,23.94,,
533,0,VMO,0.888819,24.186,,
534,0,VMO,0.889087,24.193,,
535,0,VMO,0.889412,24.202,,
536,0,VMO,0.889836,24.214,,
537,0,VMO,0.890029,24.219,,
538,0,VMO,0.923573,25.132,,
539,0,VMO,0.923996,25.143,,
540,0,VMO,0.924344,25.153,,
541,0,VMO,0.924744,25.164,,
542,0,VMO,0.928416,25.263,,
543,0,VMO,0.928627,25.269,,
544,0,VMO,0.928953,25.278,,
545,0,VMO,0.929594,25.296,,
546,0,VMO,0.929636,25.297,,
547,0,VMO,0.929695,25.298,,
548,0,VMO,0.929765,25.3,,
549,0,VMO,0.929812,25.301,,
550,0,VMO,0.93316,25.393,,
551,0,VMO,0.933482,25.401,,
552,0,VMO,0.933554,25.403,,
553,0,VMO,0.933682,25.407,,
554,0,VMO,0.93569,25.461,,
555,0,VMO,0.936626,25.487,,
556,0,VMO,0.937239,25.504,,
557,0,VMO,0.937453,25.509,,
558,0,VMO,0.937581,25.513,,
559,0,VMO,0.937691,25.516,,
560,0,VMO,0.938161,25.529,,
561,0,VMO,0.939088,25.554,,
562,0,VMO,0.939843,25.574,,
563,0,VMO,0.942479,25.646,,
564,0,VMO,0.942601,25.649,,
565,0,VMO,0.942639,25.651,,
566,0,VMO,0.950815,25.873,,
567,0,VMO,0.983009,26.749,,
568,0,VMO,0.983345,26.758,,
569,0,VMO,0.98347,26.762,,
570,0,VMO,0.983493,26.762,,
571,0,VMO,0.983918,26.774,,
572,0,VMO,0.984397,26.787,,
573,0,VMO,0.984529,26.79,,
574,0,VMO,0.984535,26.791,,
575,0,VMO,1.020429,27.767,,
576,0,VMO,1.020448,27.768,,
577,0,VMO,1.020451,27.768,,
578,0,VMO,1.035214,28.17,,
579,0,VMO,1.03585,28.187,,
580,0,VMO,1.036998,28.218,,
581,0,VMO,1.046537,28.478,,
582,0,VMO,1.046967,28.489,,
583,0,VMO,1.047137,28.494,,
584,0,VMO,1.047177,28.495,,
585,0,VMO,1.047713,28.51,,
586,0,VMO,1.053028,28.654,,
587,0,VMO,1.053195,28.659,,
588,0,VMO,1.053281,28.661,,
589,0,VMO,1.053441,28.666,,
590,0,VMO,1.055469,28.721,,
591,0,VMO,1.055956,28.734,,
592,0,VMO,1.057116,28.766,,
593,0,VMO,1.05717,28.767,,
594,0,VMO,1.057748,28.783,,
595,0,VMO,1.064824,28.975,,
596,0,VMO,1.064853,28.976,,
597,0,VMO,1.064873,28.977,,
598,0,VMO,1.081344,29.425,,
599,0,VMO,1.08143,29.427,,
600,0,VMO,1.081506,29.429,,
601,0,VMO,1.081617,29.432,,
602,0,VMO,1.081629,29.433,,
603,0,VMO,1.090278,29.668,,
604,0,VMO,1.090697,29.679,,
605,0,VMO,1.090936,29.686,,
606,0,VMO,1.091291,29.696,,
607,0,VMO,1.118894,30.447,,
608,0,VMO,1.11891,30.447,,
609,0,VMO,1.119,30.45,,
610,0,VMO,1.119018,30.45,,
611,0,VMO,1.119178,30.454,,
612,0,VMO,1.120925,30.502,,
613,0,VMO,1.121129,30.507,,
614,0,VMO,1.122565,30.547,,
615,0,VMO,1.124326,30.594,,
616,0,VMO,1.125436,30.625,,
617,0,VMO,1.127288,30.675,,
618,0,VMO,1.129445,30.734,,
619,0,VMO,1.129918,30.747,,
620,0,VMO,1.150724,31.313,,
621,0,VMO,1.150735,31.313,,
622,0,VMO,1.150749,31.313,,
623,0,VMO,1.171891,31.889,,
624,0,VMO,1.171903,31.889,,
625,0,VMO,1.171927,31.89,,
626,0,VMO,1.184088,32.221,,
627,0,VMO,1.18412,32.222,,
628,0,VMO,1.184195,32.224,,
629,0,VMO,1.184208,32.224,,
630,0,VMO,1.184236,32.225,,
631,0,VMO,1.187137,32.304,,
632,0,VMO,1.187153,32.304,,
633,0,VMO,1.187174,32.305,,
634,0,VMO,1.219852,33.194,,
635,0,VMO,1.221534,33.24,,
636,0,VMO,1.22187,33.249,,
637,0,VMO,1.222302,33.261,,
638,0,VMO,1.222381,33.263,,
639,0,VMO,1.222664,33.27,,
640,0,VMO,1.223413,33.291,,
641,0,VMO,1.226997,33.388,,
642,0,VMO,1.227117,33.392,,
