from_state_label,from_root,from_state_suffix,to_state_label,to_root,to_state_suffix,energy_eV,energy_cm1,wavelength_nm,oscillator_strength,dipole_strength_au2,dx_au,dy_au,dz_au,center_of_mass_x,center_of_mass_y,center_of_mass_z
0-1A,0,1A,2-1A,2,1A,4.398357,35475.1,281.9,0.166283763,1.54313,-0.17725,-0.18082,1.21615,1.6455,8.6501,-2.3975
0-1A,0,1A,1-1A,1,1A,4.789097,38626.7,258.9,0.346397298,2.95232,-0.31693,0.33383,1.65542,1.6455,8.6501,-2.3975
0-1A,0,1A,4-1A,4,1A,4.820972,38883.8,257.2,0.135501094,1.14723,-0.9746,-0.4351,0.08981,1.6455,8.6501,-2.3975
0-1A,0,1A,3-1A,3,1A,4.827523,38936.6,256.8,0.648619072,5.48412,1.91371,1.32833,0.2396,1.6455,8.6501,-2.3975
0-1A,0,1A,5-1A,5,1A,4.876485,39331.5,254.2,0.000290319,0.00243,0.00242,-0.0187,0.04555,1.6455,8.6501,-2.3975
0-1A,0,1A,6-1A,6,1A,4.902875,39544.4,252.9,0.001697613,0.01413,-0.11024,-0.02349,-0.0378,1.6455,8.6501,-2.3975
0-1A,0,1A,7-1A,7,1A,5.394858,43512.5,229.8,0.067028926,0.50714,-0.51791,-0.4878,0.03097,1.6455,8.6501,-2.3975
0-1A,0,1A,12-1A,12,1A,5.432637,43817.2,228.2,0.031857643,0.23936,-0.28089,0.37719,0.13485,1.6455,8.6501,-2.3975
0-1A,0,1A,11-1A,11,1A,5.591782,45100.8,221.7,0.00174828,0.01276,-0.06707,-0.07682,0.0486,1.6455,8.6501,-2.3975
0-1A,0,1A,8-1A,8,1A,5.640551,45494.1,219.8,0.039589885,0.28649,0.38793,0.20378,0.30735,1.6455,8.6501,-2.3975
0-1A,0,1A,9-1A,9,1A,5.752772,46399.2,215.5,0.091554309,0.6496,0.15135,-0.61813,-0.49458,1.6455,8.6501,-2.3975
0-1A,0,1A,14-1A,14,1A,5.778621,46607.7,214.6,0.021824931,0.15416,-0.39214,-0.01954,-0.00162,1.6455,8.6501,-2.3975
0-1A,0,1A,13-1A,13,1A,6.001682,48406.8,206.6,0.108420955,0.73736,0.81503,0.0998,-0.25125,1.6455,8.6501,-2.3975
0-1A,0,1A,10-1A,10,1A,6.021367,48565.6,205.9,0.110966153,0.75221,-0.54294,0.07881,0.67172,1.6455,8.6501,-2.3975
0-1A,0,1A,18-1A,18,1A,6.119147,49354.3,202.6,0.555853366,3.70776,1.38331,0.16755,1.32896,1.6455,8.6501,-2.3975
0-1A,0,1A,16-1A,16,1A,6.128481,49429.5,202.3,1.167839408,7.77808,2.24493,1.25977,-1.073,1.6455,8.6501,-2.3975
0-1A,0,1A,17-1A,17,1A,6.135263,49484.2,202.1,0.197724763,1.31544,1.03879,-0.43098,-0.22497,1.6455,8.6501,-2.3975
0-1A,0,1A,15-1A,15,1A,6.136473,49494.0,202.0,0.134529127,0.89483,-0.24771,-0.39499,-0.82307,1.6455,8.6501,-2.3975
0-1A,0,1A,21-1A,21,1A,6.153502,49631.3,201.5,0.162642632,1.07883,-0.34258,0.19343,-0.96128,1.6455,8.6501,-2.3975
0-1A,0,1A,19-1A,19,1A,6.213641,50116.4,199.5,0.616011465,4.04655,-1.26831,-0.01047,1.56136,1.6455,8.6501,-2.3975
0-1A,0,1A,20-1A,20,1A,6.316883,50949.1,196.3,1.604517193,10.36772,2.55649,1.68754,0.99213,1.6455,8.6501,-2.3975
0-1A,0,1A,34-1A,34,1A,6.403067,51644.2,193.6,0.006687512,0.04263,0.17598,-0.08566,-0.06575,1.6455,8.6501,-2.3975
0-1A,0,1A,23-1A,23,1A,6.523719,52617.3,190.1,0.317034681,1.9836,0.44649,-1.30689,-0.27617,1.6455,8.6501,-2.3975
0-1A,0,1A,25-1A,25,1A,6.547049,52805.5,189.4,0.238951854,1.48973,-0.0358,-1.20214,-0.20807,1.6455,8.6501,-2.3975
0-1A,0,1A,22-1A,22,1A,6.592042,53168.4,188.1,0.253526035,1.5698,0.27582,0.18126,1.20866,1.6455,8.6501,-2.3975
0-1A,0,1A,24-1A,24,1A,6.608111,53298.0,187.6,0.209958899,1.29688,0.57261,0.47104,-0.86436,1.6455,8.6501,-2.3975
0-1A,0,1A,29-1A,29,1A,6.644616,53592.4,186.6,0.080600075,0.49512,-0.53764,0.25073,0.37841,1.6455,8.6501,-2.3975
0-1A,0,1A,28-1A,28,1A,6.647998,53619.7,186.5,0.243922593,1.49762,-0.9268,0.19846,-0.77414,1.6455,8.6501,-2.3975
0-1A,0,1A,32-1A,32,1A,6.684569,53914.7,185.5,0.050764936,0.30998,0.47852,0.22567,-0.17341,1.6455,8.6501,-2.3975
0-1A,0,1A,27-1A,27,1A,6.708615,54108.6,184.8,0.25987093,1.58113,-0.39689,-0.35957,1.13768,1.6455,8.6501,-2.3975
0-1A,0,1A,42-1A,42,1A,6.779657,54681.6,182.9,0.01260002,0.07586,0.15073,-0.10276,-0.20635,1.6455,8.6501,-2.3975
0-1A,0,1A,30-1A,30,1A,6.78976,54763.1,182.6,0.388748354,2.33699,1.17778,0.74209,-0.63177,1.6455,8.6501,-2.3975
0-1A,0,1A,26-1A,26,1A,6.789803,54763.5,182.6,0.016601493,0.0998,0.10448,0.10082,-0.28057,1.6455,8.6501,-2.3975
0-1A,0,1A,31-1A,31,1A,6.80705,54902.6,182.1,0.088272143,0.52931,-0.62387,0.29991,-0.22394,1.6455,8.6501,-2.3975
0-1A,0,1A,33-1A,33,1A,6.821498,55019.1,181.8,0.254445231,1.5225,0.35115,-0.3885,1.11725,1.6455,8.6501,-2.3975
0-1A,0,1A,45-1A,45,1A,6.829618,55084.6,181.5,0.003119694,0.01864,-0.00277,0.13259,0.03253,1.6455,8.6501,-2.3975
0-1A,0,1A,36-1A,36,1A,6.855689,55294.9,180.8,0.087465163,0.52075,0.15614,0.57806,-0.40275,1.6455,8.6501,-2.3975
0-1A,0,1A,38-1A,38,1A,6.869284,55404.5,180.5,0.243404939,1.4463,-0.79397,0.15712,0.88951,1.6455,8.6501,-2.3975
0-1A,0,1A,35-1A,35,1A,6.919514,55809.6,179.2,0.017739357,0.10464,-0.11821,-0.01584,-0.30069,1.6455,8.6501,-2.3975
0-1A,0,1A,39-1A,39,1A,6.933479,55922.3,178.8,0.126934085,0.74726,-0.62744,0.44475,0.39467,1.6455,8.6501,-2.3975
0-1A,0,1A,37-1A,37,1A,6.937095,55951.4,178.7,0.263563737,1.55078,-0.99403,0.24559,0.70878,1.6455,8.6501,-2.3975
0-1A,0,1A,43-1A,43,1A,6.969995,56216.8,177.9,0.050609076,0.29637,-0.51691,-0.08959,0.14544,1.6455,8.6501,-2.3975
0-1A,0,1A,44-1A,44,1A,7.030965,56708.6,176.3,0.014986575,0.087,0.12269,-0.20072,-0.17794,1.6455,8.6501,-2.3975
0-1A,0,1A,40-1A,40,1A,7.126805,57481.6,174.0,0.009685343,0.05547,0.21312,-0.00661,0.10004,1.6455,8.6501,-2.3975
0-1A,0,1A,41-1A,41,1A,7.15667,57722.4,173.2,0.044968085,0.25647,0.40655,-0.25664,-0.15913,1.6455,8.6501,-2.3975
0-1A,0,1A,60-1A,60,1A,7.239692,58392.1,171.3,0.005680012,0.03202,0.11185,0.02437,-0.13755,1.6455,8.6501,-2.3975
0-1A,0,1A,57-1A,57,1A,7.244559,58431.3,171.1,0.110008891,0.61981,-0.26547,0.37904,-0.63692,1.6455,8.6501,-2.3975
0-1A,0,1A,54-1A,54,1A,7.272918,58660.0,170.5,0.028233674,0.15845,0.34506,0.1892,0.05992,1.6455,8.6501,-2.3975
0-1A,0,1A,49-1A,49,1A,7.294252,58832.1,170.0,0.047498221,0.26579,-0.43641,0.09718,0.25669,1.6455,8.6501,-2.3975
0-1A,0,1A,46-1A,46,1A,7.30281,58901.1,169.8,0.03871194,0.21637,-0.32096,-0.33281,-0.05093,1.6455,8.6501,-2.3975
0-1A,0,1A,50-1A,50,1A,7.323356,59066.9,169.3,0.011796689,0.06575,-0.11223,-0.12999,0.19041,1.6455,8.6501,-2.3975
0-1A,0,1A,58-1A,58,1A,7.333908,59152.0,169.1,0.001450357,0.00807,0.01831,0.08758,0.00817,1.6455,8.6501,-2.3975
0-1A,0,1A,55-1A,55,1A,7.371524,59455.4,168.2,0.041775456,0.23132,-0.45242,0.13063,0.09784,1.6455,8.6501,-2.3975
0-1A,0,1A,51-1A,51,1A,7.376265,59493.6,168.1,0.002078888,0.0115,0.1054,-0.0144,0.01367,1.6455,8.6501,-2.3975
0-1A,0,1A,52-1A,52,1A,7.386862,59579.1,167.8,0.00972471,0.05374,0.09929,0.01864,-0.20864,1.6455,8.6501,-2.3975
0-1A,0,1A,67-1A,67,1A,7.426222,59896.5,167.0,0.006236727,0.03428,0.06843,0.03204,0.16902,1.6455,8.6501,-2.3975
0-1A,0,1A,48-1A,48,1A,7.437449,59987.1,166.7,0.077440119,0.425,-0.51279,-0.29495,-0.27395,1.6455,8.6501,-2.3975
0-1A,0,1A,56-1A,56,1A,7.456578,60141.4,166.3,0.077398621,0.42368,0.35596,-0.45189,-0.30458,1.6455,8.6501,-2.3975
0-1A,0,1A,64-1A,64,1A,7.486905,60386.0,165.6,0.035881641,0.19562,-0.18118,-0.01294,-0.40327,1.6455,8.6501,-2.3975
0-1A,0,1A,47-1A,47,1A,7.521179,60662.4,164.8,0.010964536,0.0595,0.21382,0.11665,0.01331,1.6455,8.6501,-2.3975
0-1A,0,1A,53-1A,53,1A,7.555884,60942.3,164.1,0.061711044,0.33336,0.45842,-0.13816,-0.32269,1.6455,8.6501,-2.3975
0-1A,0,1A,61-1A,61,1A,7.560374,60978.5,164.0,0.023395072,0.12631,0.07016,0.01975,0.34784,1.6455,8.6501,-2.3975
0-1A,0,1A,65-1A,65,1A,7.57298,61080.2,163.7,0.001824932,0.00984,-0.04106,0.03135,-0.08466,1.6455,8.6501,-2.3975
0-1A,0,1A,71-1A,71,1A,7.58105,61145.3,163.5,0.04375283,0.23557,0.10421,-0.33662,0.33376,1.6455,8.6501,-2.3975
0-1A,0,1A,82-1A,82,1A,7.586057,61185.7,163.4,0.01012803,0.05449,-0.13034,-0.02228,0.19238,1.6455,8.6501,-2.3975
0-1A,0,1A,63-1A,63,1A,7.598989,61290.0,163.2,0.020673931,0.11105,0.10563,0.23035,0.2164,1.6455,8.6501,-2.3975
0-1A,0,1A,72-1A,72,1A,7.61619,61428.7,162.8,0.008919416,0.0478,-0.03909,-0.09283,-0.19405,1.6455,8.6501,-2.3975
0-1A,0,1A,70-1A,70,1A,7.619191,61452.9,162.7,0.027736646,0.14859,-0.2835,-0.04013,0.25808,1.6455,8.6501,-2.3975
0-1A,0,1A,68-1A,68,1A,7.621194,61469.1,162.7,0.009176028,0.04914,-0.19491,-0.08447,0.0634,1.6455,8.6501,-2.3975
0-1A,0,1A,83-1A,83,1A,7.629305,61534.5,162.5,0.022117545,0.11833,0.1601,-0.2086,0.22177,1.6455,8.6501,-2.3975
0-1A,0,1A,75-1A,75,1A,7.644636,61658.2,162.2,0.048384198,0.25834,-0.09784,-0.15411,0.47436,1.6455,8.6501,-2.3975
0-1A,0,1A,62-1A,62,1A,7.666452,61834.1,161.7,0.025605743,0.13633,0.22017,-0.04909,-0.29231,1.6455,8.6501,-2.3975
0-1A,0,1A,69-1A,69,1A,7.670967,61870.5,161.6,0.015913644,0.08468,0.14691,0.2478,-0.04108,1.6455,8.6501,-2.3975
0-1A,0,1A,78-1A,78,1A,7.675165,61904.4,161.5,0.027808381,0.14789,-0.05138,-0.00456,0.38108,1.6455,8.6501,-2.3975
0-1A,0,1A,87-1A,87,1A,7.680455,61947.1,161.4,0.002284328,0.01214,0.02048,0.02604,-0.10508,1.6455,8.6501,-2.3975
0-1A,0,1A,84-1A,84,1A,7.693578,62052.9,161.2,0.002604874,0.01382,0.0099,-0.04662,-0.10746,1.6455,8.6501,-2.3975
0-1A,0,1A,81-1A,81,1A,7.703152,62130.1,161.0,0.007144775,0.03786,-0.11568,-0.13936,-0.07109,1.6455,8.6501,-2.3975
0-1A,0,1A,77-1A,77,1A,7.710227,62187.2,160.8,0.01558821,0.08252,0.15927,0.21794,-0.09826,1.6455,8.6501,-2.3975
0-1A,0,1A,79-1A,79,1A,7.713932,62217.1,160.7,0.005758578,0.03047,0.04718,-0.10496,0.13126,1.6455,8.6501,-2.3975
0-1A,0,1A,74-1A,74,1A,7.726651,62319.6,160.5,0.021416072,0.11313,0.00434,0.14547,-0.30324,1.6455,8.6501,-2.3975
0-1A,0,1A,89-1A,89,1A,7.734973,62386.8,160.3,0.003948712,0.02084,0.06501,-0.12076,-0.04503,1.6455,8.6501,-2.3975
0-1A,0,1A,66-1A,66,1A,7.735782,62393.3,160.3,0.019667687,0.10377,0.07415,0.26041,-0.17453,1.6455,8.6501,-2.3975
0-1A,0,1A,91-1A,91,1A,7.748696,62497.5,160.0,0.004874308,0.02568,0.00274,-0.08991,-0.1326,1.6455,8.6501,-2.3975
0-1A,0,1A,100-1A,100,1A,7.760863,62595.6,159.8,0.009564507,0.0503,0.18889,-0.09947,0.06877,1.6455,8.6501,-2.3975
0-1A,0,1A,59-1A,59,1A,7.76984,62668.0,159.6,0.031502146,0.16549,0.12586,-0.27946,-0.2675,1.6455,8.6501,-2.3975
0-1A,0,1A,98-1A,98,1A,7.777696,62731.4,159.4,0.047886327,0.25131,-0.24438,-0.11466,-0.42242,1.6455,8.6501,-2.3975
0-1A,0,1A,86-1A,86,1A,7.801379,62922.4,158.9,0.024877194,0.13016,-0.16932,-0.29377,0.12323,1.6455,8.6501,-2.3975
0-1A,0,1A,76-1A,76,1A,7.820152,63073.8,158.5,0.022876266,0.1194,-0.12633,-0.23075,0.22405,1.6455,8.6501,-2.3975
0-1A,0,1A,85-1A,85,1A,7.820674,63078.0,158.5,0.022966734,0.11987,-0.25104,0.23671,-0.02855,1.6455,8.6501,-2.3975
0-1A,0,1A,73-1A,73,1A,7.831047,63161.7,158.3,0.037248539,0.19415,-0.19331,0.09272,-0.38494,1.6455,8.6501,-2.3975
0-1A,0,1A,96-1A,96,1A,7.863603,63424.2,157.7,0.089385442,0.46397,0.11588,0.10286,0.66329,1.6455,8.6501,-2.3975
0-1A,0,1A,80-1A,80,1A,7.868459,63463.4,157.6,0.005496168,0.02851,-0.02705,-0.0231,0.16506,1.6455,8.6501,-2.3975
0-1A,0,1A,93-1A,93,1A,7.880927,63564.0,157.3,0.021273797,0.11018,0.14435,0.13046,0.26893,1.6455,8.6501,-2.3975
0-1A,0,1A,94-1A,94,1A,7.883705,63586.4,157.3,0.012399188,0.0642,0.10142,-0.0098,-0.23198,1.6455,8.6501,-2.3975
0-1A,0,1A,92-1A,92,1A,7.888787,63627.4,157.2,0.002232713,0.01155,0.02282,-0.09156,0.05146,1.6455,8.6501,-2.3975
0-1A,0,1A,95-1A,95,1A,7.903872,63749.0,156.9,0.033222544,0.17157,0.01291,-0.2834,-0.3018,1.6455,8.6501,-2.3975
0-1A,0,1A,97-1A,97,1A,7.918281,63865.2,156.6,0.008356087,0.04307,0.19433,0.06765,-0.02704,1.6455,8.6501,-2.3975
0-1A,0,1A,90-1A,90,1A,7.959637,64198.8,155.8,0.010443064,0.05355,-0.00529,0.05816,-0.22392,1.6455,8.6501,-2.3975
0-1A,0,1A,99-1A,99,1A,8.020721,64691.5,154.6,0.008108941,0.04127,-0.04948,0.09438,-0.17294,1.6455,8.6501,-2.3975
0-1A,0,1A,88-1A,88,1A,8.040102,64847.8,154.2,0.008089086,0.04107,0.18508,-0.06951,-0.04451,1.6455,8.6501,-2.3975
