from_state_label,from_root,from_state_suffix,to_state_label,to_root,to_state_suffix,energy_eV,energy_cm1,wavelength_nm,rotatory_strength_cgs,mx_au,my_au,mz_au,center_of_mass_x,center_of_mass_y,center_of_mass_z
0-1A,0,1A,2-1A,2,1A,4.398357,35475.1,281.9,-164.95595,0.19996,0.26706,0.35655,1.6455,8.6501,-2.3975
0-1A,0,1A,1-1A,1,1A,4.789097,38626.7,258.9,145.9846,-0.55479,-0.46357,-0.19978,1.6455,8.6501,-2.3975
0-1A,0,1A,4-1A,4,1A,4.820972,38883.8,257.2,-5.82695,0.18489,-0.48361,-0.19886,1.6455,8.6501,-2.3975
0-1A,0,1A,3-1A,3,1A,4.827523,38936.6,256.8,-98.93413,-0.33343,0.5029,0.75093,1.6455,8.6501,-2.3975
0-1A,0,1A,5-1A,5,1A,4.876485,39331.5,254.2,-1.73952,0.00857,-0.02651,0.06967,1.6455,8.6501,-2.3975
0-1A,0,1A,6-1A,6,1A,4.902875,39544.4,252.9,-2.02491,-0.00639,-0.08085,-0.04475,1.6455,8.6501,-2.3975
0-1A,0,1A,7-1A,7,1A,5.394858,43512.5,229.8,-51.79435,-0.20972,0.00915,0.18427,1.6455,8.6501,-2.3975
0-1A,0,1A,12-1A,12,1A,5.432637,43817.2,228.2,11.81,-0.02685,-0.1846,0.27463,1.6455,8.6501,-2.3975
0-1A,0,1A,11-1A,11,1A,5.591782,45100.8,221.7,8.22838,0.24878,0.10258,0.14637,1.6455,8.6501,-2.3975
0-1A,0,1A,8-1A,8,1A,5.640551,45494.1,219.8,-15.22586,-0.11166,0.17996,0.12669,1.6455,8.6501,-2.3975
0-1A,0,1A,9-1A,9,1A,5.752772,46399.2,215.5,-62.46986,-0.05117,0.26113,-0.60993,1.6455,8.6501,-2.3975
0-1A,0,1A,14-1A,14,1A,5.778621,46607.7,214.6,30.1835,0.13045,0.63376,0.30025,1.6455,8.6501,-2.3975
0-1A,0,1A,13-1A,13,1A,6.001682,48406.8,206.6,21.27241,-0.09712,0.42569,0.03364,1.6455,8.6501,-2.3975
0-1A,0,1A,10-1A,10,1A,6.021367,48565.6,205.9,8.33207,-0.19834,-0.53709,-0.12361,1.6455,8.6501,-2.3975
0-1A,0,1A,18-1A,18,1A,6.119147,49354.3,202.6,-206.137,0.42708,1.58664,-0.31558,1.6455,8.6501,-2.3975
0-1A,0,1A,16-1A,16,1A,6.128481,49429.5,202.3,363.16366,-0.18289,-1.74163,-1.70952,1.6455,8.6501,-2.3975
0-1A,0,1A,17-1A,17,1A,6.135263,49484.2,202.1,319.39003,-0.93946,-0.52139,-0.3277,1.6455,8.6501,-2.3975
0-1A,0,1A,15-1A,15,1A,6.136473,49494.0,202.0,177.53853,0.19708,0.32876,0.24044,1.6455,8.6501,-2.3975
0-1A,0,1A,21-1A,21,1A,6.153502,49631.3,201.5,-53.22706,-0.49797,-0.56559,-0.05379,1.6455,8.6501,-2.3975
0-1A,0,1A,19-1A,19,1A,6.213641,50116.4,199.5,-243.983,-0.11482,-0.80675,0.23277,1.6455,8.6501,-2.3975
0-1A,0,1A,20-1A,20,1A,6.316883,50949.1,196.3,119.78429,-0.86955,0.82269,0.5852,1.6455,8.6501,-2.3975
0-1A,0,1A,34-1A,34,1A,6.403067,51644.2,193.6,5.98765,-0.30261,-0.38879,-0.11029,1.6455,8.6501,-2.3975
0-1A,0,1A,23-1A,23,1A,6.523719,52617.3,190.1,-71.5791,0.17111,0.06321,-0.57223,1.6455,8.6501,-2.3975
0-1A,0,1A,25-1A,25,1A,6.547049,52805.5,189.4,-87.74652,-0.14305,-0.02631,-0.71787,1.6455,8.6501,-2.3975
0-1A,0,1A,22-1A,22,1A,6.592042,53168.4,188.1,-165.90386,-0.3728,0.22058,0.34314,1.6455,8.6501,-2.3975
0-1A,0,1A,24-1A,24,1A,6.608111,53298.0,187.6,59.55555,0.08217,0.39852,0.41776,1.6455,8.6501,-2.3975
0-1A,0,1A,29-1A,29,1A,6.644616,53592.4,186.6,-131.55873,-0.18262,0.41245,0.20469,1.6455,8.6501,-2.3975
0-1A,0,1A,28-1A,28,1A,6.647998,53619.7,186.5,13.14216,0.22038,0.1908,-0.17892,1.6455,8.6501,-2.3975
0-1A,0,1A,32-1A,32,1A,6.684569,53914.7,185.5,-6.75605,0.01794,-0.01199,-0.04874,1.6455,8.6501,-2.3975
0-1A,0,1A,27-1A,27,1A,6.708615,54108.6,184.8,-17.47264,-0.2689,-0.90808,-0.34824,1.6455,8.6501,-2.3975
0-1A,0,1A,42-1A,42,1A,6.779657,54681.6,182.9,6.53299,-0.12575,-0.02053,-0.01447,1.6455,8.6501,-2.3975
0-1A,0,1A,30-1A,30,1A,6.78976,54763.1,182.6,184.0989,0.02713,-0.10954,0.54002,1.6455,8.6501,-2.3975
0-1A,0,1A,26-1A,26,1A,6.789803,54763.5,182.6,13.53826,-0.11456,-0.10478,0.02204,1.6455,8.6501,-2.3975
0-1A,0,1A,31-1A,31,1A,6.80705,54902.6,182.1,97.046,0.0785,-0.51271,0.01385,1.6455,8.6501,-2.3975
0-1A,0,1A,33-1A,33,1A,6.821498,55019.1,181.8,-55.5529,-0.4891,0.61929,0.47454,1.6455,8.6501,-2.3975
0-1A,0,1A,45-1A,45,1A,6.829618,55084.6,181.5,-12.32477,-0.109,0.17832,0.06757,1.6455,8.6501,-2.3975
0-1A,0,1A,36-1A,36,1A,6.855689,55294.9,180.8,5.78413,0.05956,0.03131,0.09849,1.6455,8.6501,-2.3975
0-1A,0,1A,38-1A,38,1A,6.869284,55404.5,180.5,5.05879,-0.02101,0.12983,-0.05375,1.6455,8.6501,-2.3975
0-1A,0,1A,35-1A,35,1A,6.919514,55809.6,179.2,14.36827,0.21571,-0.14333,0.0241,1.6455,8.6501,-2.3975
0-1A,0,1A,39-1A,39,1A,6.933479,55922.3,178.8,26.92526,0.00027,-0.10025,-0.03131,1.6455,8.6501,-2.3975
0-1A,0,1A,37-1A,37,1A,6.937095,55951.4,178.7,-55.33626,-0.22132,-0.9571,0.18684,1.6455,8.6501,-2.3975
0-1A,0,1A,43-1A,43,1A,6.969995,56216.8,177.9,10.64895,0.05425,-0.17182,-0.06834,1.6455,8.6501,-2.3975
0-1A,0,1A,44-1A,44,1A,7.030965,56708.6,176.3,-76.46047,0.03348,-0.55352,-0.26399,1.6455,8.6501,-2.3975
0-1A,0,1A,40-1A,40,1A,7.126805,57481.6,174.0,7.75519,-0.05728,-0.19153,-0.05508,1.6455,8.6501,-2.3975
0-1A,0,1A,41-1A,41,1A,7.15667,57722.4,173.2,-1.08163,-0.02973,-0.03227,-0.03832,1.6455,8.6501,-2.3975
0-1A,0,1A,60-1A,60,1A,7.239692,58392.1,171.3,16.71371,-0.15831,-0.15679,0.10123,1.6455,8.6501,-2.3975
0-1A,0,1A,57-1A,57,1A,7.244559,58431.3,171.1,102.11308,-0.28351,-0.48062,0.17221,1.6455,8.6501,-2.3975
0-1A,0,1A,54-1A,54,1A,7.272918,58660.0,170.5,-24.05069,0.18578,-0.07483,0.01777,1.6455,8.6501,-2.3975
0-1A,0,1A,49-1A,49,1A,7.294252,58832.1,170.0,-57.15558,-0.21848,-0.27208,0.20385,1.6455,8.6501,-2.3975
0-1A,0,1A,46-1A,46,1A,7.30281,58901.1,169.8,26.55476,0.10456,0.08756,-0.12514,1.6455,8.6501,-2.3975
0-1A,0,1A,50-1A,50,1A,7.323356,59066.9,169.3,-22.04115,-0.16186,-0.11195,0.0737,1.6455,8.6501,-2.3975
0-1A,0,1A,58-1A,58,1A,7.333908,59152.0,169.1,-0.80779,0.00655,0.01474,0.03704,1.6455,8.6501,-2.3975
0-1A,0,1A,55-1A,55,1A,7.371524,59455.4,168.2,28.46075,0.15024,0.03789,0.02711,1.6455,8.6501,-2.3975
0-1A,0,1A,51-1A,51,1A,7.376265,59493.6,168.1,18.05314,-0.39761,-0.29129,-0.04244,1.6455,8.6501,-2.3975
0-1A,0,1A,52-1A,52,1A,7.386862,59579.1,167.8,17.64789,-0.00093,0.11018,0.18882,1.6455,8.6501,-2.3975
0-1A,0,1A,67-1A,67,1A,7.426222,59896.5,167.0,4.10849,0.34072,0.01505,-0.19236,1.6455,8.6501,-2.3975
0-1A,0,1A,48-1A,48,1A,7.437449,59987.1,166.7,26.38552,-0.20199,0.26938,0.29237,1.6455,8.6501,-2.3975
0-1A,0,1A,56-1A,56,1A,7.456578,60141.4,166.3,-217.53427,0.20101,-0.43078,-0.64089,1.6455,8.6501,-2.3975
0-1A,0,1A,64-1A,64,1A,7.486905,60386.0,165.6,0.80995,0.14479,0.09914,-0.06397,1.6455,8.6501,-2.3975
0-1A,0,1A,47-1A,47,1A,7.521179,60662.4,164.8,-30.14441,0.17621,0.19194,0.2909,1.6455,8.6501,-2.3975
0-1A,0,1A,53-1A,53,1A,7.555884,60942.3,164.1,13.75349,-0.00782,0.42264,-0.10166,1.6455,8.6501,-2.3975
0-1A,0,1A,61-1A,61,1A,7.560374,60978.5,164.0,-33.09747,-0.32146,-0.00599,0.267,1.6455,8.6501,-2.3975
0-1A,0,1A,65-1A,65,1A,7.57298,61080.2,163.7,4.68837,0.13916,0.00028,0.05008,1.6455,8.6501,-2.3975
0-1A,0,1A,71-1A,71,1A,7.58105,61145.3,163.5,2.52024,0.3212,0.20543,0.09089,1.6455,8.6501,-2.3975
0-1A,0,1A,82-1A,82,1A,7.586057,61185.7,163.4,2.82971,-0.28028,-0.35028,-0.26165,1.6455,8.6501,-2.3975
0-1A,0,1A,63-1A,63,1A,7.598989,61290.0,163.2,17.78205,0.06473,-0.17091,-0.02397,1.6455,8.6501,-2.3975
0-1A,0,1A,72-1A,72,1A,7.61619,61428.7,162.8,24.86253,0.10707,0.51015,0.00614,1.6455,8.6501,-2.3975
0-1A,0,1A,70-1A,70,1A,7.619191,61452.9,162.7,-35.83148,-0.24149,-0.00404,0.02858,1.6455,8.6501,-2.3975
0-1A,0,1A,68-1A,68,1A,7.621194,61469.1,162.7,23.29921,0.12316,0.08794,-0.28371,1.6455,8.6501,-2.3975
0-1A,0,1A,83-1A,83,1A,7.629305,61534.5,162.5,29.46701,-0.1441,0.02166,-0.15744,1.6455,8.6501,-2.3975
0-1A,0,1A,75-1A,75,1A,7.644636,61658.2,162.2,-23.13693,-0.15924,-0.50806,-0.09445,1.6455,8.6501,-2.3975
0-1A,0,1A,62-1A,62,1A,7.666452,61834.1,161.7,44.01776,-0.06517,0.1127,0.2514,1.6455,8.6501,-2.3975
0-1A,0,1A,69-1A,69,1A,7.670967,61870.5,161.6,34.26717,-0.45338,-0.02409,0.00262,1.6455,8.6501,-2.3975
0-1A,0,1A,78-1A,78,1A,7.675165,61904.4,161.5,25.41518,-0.05522,0.25891,-0.14581,1.6455,8.6501,-2.3975
0-1A,0,1A,87-1A,87,1A,7.680455,61947.1,161.4,7.36556,0.01351,-0.38971,0.05475,1.6455,8.6501,-2.3975
0-1A,0,1A,84-1A,84,1A,7.693578,62052.9,161.2,10.39879,0.35762,0.10878,0.19101,1.6455,8.6501,-2.3975
0-1A,0,1A,81-1A,81,1A,7.703152,62130.1,161.0,-17.47097,-0.15273,-0.02447,-0.22479,1.6455,8.6501,-2.3975
0-1A,0,1A,77-1A,77,1A,7.710227,62187.2,160.8,-7.3395,0.10598,0.07958,0.18986,1.6455,8.6501,-2.3975
0-1A,0,1A,79-1A,79,1A,7.713932,62217.1,160.7,4.86084,0.02233,0.32064,0.16981,1.6455,8.6501,-2.3975
0-1A,0,1A,74-1A,74,1A,7.726651,62319.6,160.5,37.58088,0.02521,-0.12248,0.20448,1.6455,8.6501,-2.3975
0-1A,0,1A,89-1A,89,1A,7.734973,62386.8,160.3,9.78009,0.32949,0.38048,-0.08398,1.6455,8.6501,-2.3975
0-1A,0,1A,66-1A,66,1A,7.735782,62393.3,160.3,6.58153,0.01278,0.01362,0.10574,1.6455,8.6501,-2.3975
0-1A,0,1A,91-1A,91,1A,7.748696,62497.5,160.0,16.41758,0.2592,0.22376,0.11624,1.6455,8.6501,-2.3975
0-1A,0,1A,100-1A,100,1A,7.760863,62595.6,159.8,9.76249,-0.04217,0.16186,0.04881,1.6455,8.6501,-2.3975
0-1A,0,1A,59-1A,59,1A,7.76984,62668.0,159.6,54.93833,-0.33181,0.18653,0.08465,1.6455,8.6501,-2.3975
0-1A,0,1A,98-1A,98,1A,7.777696,62731.4,159.4,-3.84941,0.11717,-0.32676,0.00158,1.6455,8.6501,-2.3975
0-1A,0,1A,86-1A,86,1A,7.801379,62922.4,158.9,-24.29132,-0.16448,-0.13709,-0.13468,1.6455,8.6501,-2.3975
0-1A,0,1A,76-1A,76,1A,7.820152,63073.8,158.5,-32.77471,0.05989,-0.18373,0.15483,1.6455,8.6501,-2.3975
0-1A,0,1A,85-1A,85,1A,7.820674,63078.0,158.5,-15.26187,-0.04306,0.08206,-0.07491,1.6455,8.6501,-2.3975
0-1A,0,1A,73-1A,73,1A,7.831047,63161.7,158.3,-25.17633,0.24275,0.28472,-0.19205,1.6455,8.6501,-2.3975
0-1A,0,1A,96-1A,96,1A,7.863603,63424.2,157.7,-28.49338,0.09746,0.31033,0.02597,1.6455,8.6501,-2.3975
0-1A,0,1A,80-1A,80,1A,7.868459,63463.4,157.6,-18.96324,-0.35874,-0.15684,0.16294,1.6455,8.6501,-2.3975
0-1A,0,1A,93-1A,93,1A,7.880927,63564.0,157.3,1.27264,-0.08789,0.05568,0.01012,1.6455,8.6501,-2.3975
0-1A,0,1A,94-1A,94,1A,7.883705,63586.4,157.3,-5.51289,0.08903,0.25477,-0.02225,1.6455,8.6501,-2.3975
0-1A,0,1A,92-1A,92,1A,7.888787,63627.4,157.2,8.48952,0.41727,0.15604,-0.25729,1.6455,8.6501,-2.3975
0-1A,0,1A,95-1A,95,1A,7.903872,63749.0,156.9,-28.7339,0.11028,0.00838,-0.20509,1.6455,8.6501,-2.3975
0-1A,0,1A,97-1A,97,1A,7.918281,63865.2,156.6,-19.81621,0.18903,0.09665,0.04591,1.6455,8.6501,-2.3975
0-1A,0,1A,90-1A,90,1A,7.959637,64198.8,155.8,-24.94232,-0.19637,0.27923,-0.1591,1.6455,8.6501,-2.3975
0-1A,0,1A,99-1A,99,1A,8.020721,64691.5,154.6,-31.49355,-0.20081,0.27378,-0.17939,1.6455,8.6501,-2.3975
0-1A,0,1A,88-1A,88,1A,8.040102,64847.8,154.2,-17.94706,0.22068,-0.04247,0.12868,1.6455,8.6501,-2.3975
