cycle,energy_Eh,energy_change_Eh,trust_radius_bohr,energy_change_val,energy_change_tol,energy_change_conv,rms_gradient_val,rms_gradient_tol,rms_gradient_conv,max_gradient_val,max_gradient_tol,max_gradient_conv,rms_step_val,rms_step_tol,rms_step_conv,max_step_val,max_step_tol,max_step_conv,rmsd_to_initial_ang,rmsd_to_previous_ang,orca_converged
1,-2089.705595161117,,,,,,0.0047275679,0.0001,False,0.0422354097,0.0003,False,0.013972393,0.002,False,0.0644374806,0.004,False,0.0,,False
2,-2089.71703362277,-0.01143846165314244,0.45,-0.0114384617,5e-06,False,0.0064010731,0.0001,False,0.0355967647,0.0003,False,0.013972393,0.002,False,0.0831416554,0.004,False,0.29148073,0.29148073,False
3,-2089.718620080673,-0.001586457903158589,0.3,-0.0015864579,5e-06,False,0.0027173354,0.0001,False,0.0201178581,0.0003,False,0.0127536124,0.002,False,0.0902664476,0.004,False,0.19937951,0.44838038,False
4,-2089.723121181239,-0.004501100565903471,0.45,-0.0045011006,5e-06,False,0.0014164262,0.0001,False,0.0135119936,0.0003,False,0.013972393,0.002,False,0.1367463553,0.004,False,0.17410053,0.11546627,False
5,-2089.725621040071,-0.0024998588319249393,0.675,-0.0024998588,5e-06,False,0.0013128158,0.0001,False,0.0081519988,0.0003,False,0.0209585895,0.002,False,0.1642797928,0.004,False,0.13763399,0.09061904,False
6,-2089.728394440264,-0.0027734001928365615,0.7,-0.0027734002,5e-06,False,0.00162273,0.0001,False,0.0159918344,0.0003,False,0.0238982209,0.002,False,0.2246888609,0.004,False,0.25596686,0.17945249,False
7,-2089.731134414336,-0.002739974072028417,0.7,-0.0027399741,5e-06,False,0.0029481125,0.0001,False,0.0211729812,0.0003,False,0.0165561487,0.002,False,0.1492553007,0.004,False,0.35978809,0.1831346,False
8,-2089.733678585604,-0.0025441712682550133,0.7,-0.0025441713,5e-06,False,0.0011364064,0.0001,False,0.0076727439,0.0003,False,0.0166386723,0.002,False,0.1610091076,0.004,False,0.34617973,0.10555776,False
9,-2089.735201607194,-0.0015230215899464383,0.7,-0.0015230216,5e-06,False,0.0007589551,0.0001,False,0.0048860901,0.0003,False,0.0133038674,0.002,False,0.1424003591,0.004,False,0.42496486,0.09494947,False
10,-2089.735861331067,-0.0006597238730137178,0.7,-0.0006597239,5e-06,False,0.0005643415,0.0001,False,0.0036182816,0.0003,False,0.0144719491,0.002,False,0.1812213517,0.004,False,0.42867668,0.06602783,False
11,-2089.735932255381,-7.092431405908428e-05,0.466666667,-7.09243e-05,5e-06,False,0.0009889736,0.0001,False,0.0061717423,0.0003,False,0.0076653988,0.002,False,0.0454725025,0.004,False,0.46355849,0.07466078,False
12,-2089.736455953052,-0.0005236976708147267,0.7,-0.0005236977,5e-06,False,0.000296165,0.0001,False,0.0011312242,0.0003,False,0.0085207961,0.002,False,0.077228938,0.004,False,0.4713626,0.04287658,False
13,-2089.736608311669,-0.00015235861701512476,0.466666667,-0.0001523586,5e-06,False,0.0004374142,0.0001,False,0.0020549157,0.0003,False,0.0082400945,0.002,False,0.0821825191,0.004,False,0.45086297,0.03924934,False
14,-2089.736880818542,-0.00027250687298874254,0.466666667,-0.0002725069,5e-06,False,0.0001687197,0.0001,False,0.000692341,0.0003,False,0.016844579,0.002,False,0.1538834374,0.004,False,0.46999061,0.03070259,False
15,-2089.737114496667,-0.00023367812491414952,0.7,-0.0002336781,5e-06,False,0.0003302011,0.0001,False,0.0018747679,0.0003,False,0.0188610002,0.002,False,0.1539453273,0.004,False,0.49953486,0.05407292,False
16,-2089.737308031449,-0.0001935347822836775,0.7,-0.0001935348,5e-06,False,0.0004284329,0.0001,False,0.0022007077,0.0003,False,0.0147196638,0.002,False,0.124016849,0.004,False,0.52488184,0.05062282,False
17,-2089.737490287742,-0.00018225629264634335,0.7,-0.0001822563,5e-06,False,0.000173754,0.0001,False,0.0008504166,0.0003,False,0.0062053203,0.002,False,0.0568007274,0.004,False,0.53544447,0.04131875,False
18,-2089.737542282157,-5.1994415116496384e-05,0.7,-5.19944e-05,5e-06,False,9.65654e-05,0.0001,True,0.0004590328,0.0003,False,0.0055865332,0.002,False,0.0486487719,0.004,False,0.54228062,0.02100664,False
19,-2089.737570978386,-2.8696229037450394e-05,0.7,-2.86962e-05,5e-06,False,0.0001073239,0.0001,False,0.0004559377,0.0003,False,0.0110603998,0.002,False,0.0913757598,0.004,False,0.55241167,0.0210871,False
20,-2089.737563563552,7.414833817165345e-06,0.466666667,7.4148e-06,5e-06,False,0.0001319553,0.0001,False,0.0006723996,0.0003,False,0.0075765342,0.002,False,0.0488278665,0.004,False,0.57181102,0.04741105,False
21,-2089.737562302418,1.2611340025614481e-06,0.311111111,1.2611e-06,5e-06,True,0.0001363992,0.0001,False,0.000828323,0.0003,False,0.0040850887,0.002,False,0.0355761337,0.004,False,0.58804948,0.03615218,False
22,-2089.737616554618,-5.425219978860696e-05,0.207407407,-5.42522e-05,5e-06,False,9.55348e-05,0.0001,True,0.0005077304,0.0003,False,0.006016438,0.002,False,0.0347896032,0.004,False,0.58502787,0.01633462,False
23,-2089.737651631428,-3.507681003611651e-05,0.311111111,-3.50768e-05,5e-06,False,0.0001663905,0.0001,False,0.0009883134,0.0003,False,0.0064811325,0.002,False,0.0563525538,0.004,False,0.59630248,0.0298072,False
24,-2089.737708255824,-5.662439616571646e-05,0.207407407,-5.66244e-05,5e-06,False,0.0001081464,0.0001,False,0.0005609937,0.0003,False,0.0059989835,0.002,False,0.0533367485,0.004,False,0.58747898,0.02156912,False
25,-2089.737749403497,-4.114767307328293e-05,0.138271605,-4.11477e-05,5e-06,False,9.05844e-05,0.0001,True,0.000505244,0.0003,False,0.009659926,0.002,False,0.0611661748,0.004,False,0.59152619,0.02738954,False
26,-2089.737812552754,-6.314925667538773e-05,0.138271605,-6.31493e-05,5e-06,False,0.0001183457,0.0001,False,0.0005501961,0.0003,False,0.0064399507,0.002,False,0.0646365445,0.004,False,0.60447716,0.04368447,False
27,-2089.737847024187,-3.447143308221712e-05,0.138271605,-3.44714e-05,5e-06,False,0.0001229351,0.0001,False,0.0005791537,0.0003,False,0.0064399507,0.002,False,0.0701371893,0.004,False,0.61946458,0.03311017,False
28,-2089.73788553178,-3.850759321721853e-05,0.138271605,-3.85076e-05,5e-06,False,0.0001188568,0.0001,False,0.0007275475,0.0003,False,0.0046270799,0.002,False,0.0405818994,0.004,False,0.63783851,0.03551651,False
29,-2089.737900955715,-1.5423934655700577e-05,0.207407407,-1.54239e-05,5e-06,False,9.26379e-05,0.0001,True,0.0004867579,0.0003,False,0.0064399507,0.002,False,0.071676567,0.004,False,0.64701263,0.02225836,False
30,-2089.737923251691,-2.2295976123132277e-05,0.311111111,-2.2296e-05,5e-06,False,9.45588e-05,0.0001,True,0.0005506896,0.0003,False,0.009659926,0.002,False,0.0819698075,0.004,False,0.65695322,0.02433446,False
31,-2089.737910552727,1.2698963928414742e-05,0.207407407,1.2699e-05,5e-06,False,0.0001288069,0.0001,False,0.0008075658,0.0003,False,0.0043507232,0.002,False,0.0339050004,0.004,False,0.68447076,0.04826897,False
32,-2089.737921189206,-1.0636479146342026e-05,0.138271605,-1.06365e-05,5e-06,False,0.0001016533,0.0001,False,0.0004755399,0.0003,False,0.0023227164,0.002,False,0.0229451774,0.004,False,0.69775384,0.02277027,False
33,-2089.737931747706,-1.0558499980106717e-05,0.207407407,-1.05585e-05,5e-06,False,6.75588e-05,0.0001,True,0.0003890867,0.0003,False,0.0048965078,0.002,False,0.0556616047,0.004,False,0.69538919,0.00899919,False
34,-2089.737937053999,-5.306292678142199e-06,0.138271605,-5.3063e-06,5e-06,False,0.0001058466,0.0001,False,0.0004459193,0.0003,False,0.0030452392,0.002,False,0.0394818268,0.004,False,0.70599873,0.01973165,False
35,-2089.737934431825,2.622173724375898e-06,0.1,2.6222e-06,5e-06,True,9.09668e-05,0.0001,True,0.0003503572,0.0003,False,0.0064399507,0.002,False,0.0846047078,0.004,False,0.70975344,0.01239028,False
36,-2089.737928037557,6.3942679844331e-06,0.1,6.3943e-06,5e-06,False,8.20153e-05,0.0001,True,0.0004973681,0.0003,False,0.0046574643,0.002,False,0.0716764405,0.004,False,0.71651512,0.02365062,False
37,-2089.73790188453,2.615302719277679e-05,0.1,2.6153e-05,5e-06,False,6.94279e-05,0.0001,True,0.0003472089,0.0003,False,0.0027156134,0.002,False,0.0347835933,0.004,False,0.7272129,0.021379,False
38,-2089.737898891661,2.9928687581559643e-06,0.1,2.9929e-06,5e-06,True,5.18833e-05,0.0001,True,0.0002152943,0.0003,True,0.0020219296,0.002,False,0.0196209658,0.004,False,0.72689168,0.00920476,False
39,-2089.737915536839,-1.6645177765894914e-05,0.1,-1.66452e-05,5e-06,False,3.07569e-05,0.0001,True,0.0001566551,0.0003,True,0.001166229,0.002,True,0.0115122095,0.004,False,0.72424039,0.01019013,False
40,-2089.737916671926,-1.135087131842738e-06,0.15,-1.1351e-06,5e-06,True,2.34436e-05,0.0001,True,0.0001514752,0.0003,True,0.0006726996,0.002,True,0.0103430388,0.004,False,0.7273452,0.00450885,False
41,-2089.737912684453,3.987473064626101e-06,0.1,3.9875e-06,5e-06,True,1.72711e-05,0.0001,True,7.58379e-05,0.0003,True,0.0022545179,0.002,False,0.0351986694,0.004,False,0.72846565,0.00260814,False
42,-2089.737902360469,1.0323984042770462e-05,0.1,1.0324e-05,5e-06,False,1.57207e-05,0.0001,True,0.00011063,0.0003,True,0.0011931929,0.002,True,0.0191854498,0.004,False,0.73346349,0.00906657,False
43,-2089.737911910977,-9.550507911626482e-06,0.1,-9.5505e-06,5e-06,False,1.24958e-05,0.0001,True,6.49387e-05,0.0003,True,0.0002821536,0.002,True,0.0029977598,0.004,True,0.7307632,0.00505158,True
