block_index,optimization_cycle,root,current_iroot,state_of_interest,delta_energy_Eh,delta_energy_eV,total_energy_Eh,followiroot_runtime,input_electron_density
0,1,1,1,1,0.175390071,4.772606965692259,-2089.459300539,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
1,2,1,1,1,0.159014038,4.326992406552213,-2089.465408401,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
2,3,1,1,1,0.141328492,3.8457441833750248,-2089.474684977,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
3,4,1,1,1,0.145793775,3.9672507237856687,-2089.477466177,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
4,5,1,1,1,0.147660738,4.018053375085638,-2089.479931075,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
5,6,1,1,1,0.141111031,3.839826768110586,-2089.479243929,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
6,7,1,1,1,0.133912956,3.643957169057996,-2089.48003238,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
7,8,1,1,1,0.127496038,3.4693439348511634,-2089.485102744,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
8,9,1,1,1,0.126181425,3.4335714927441665,-2089.485471202,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
9,10,1,1,1,0.129590969,3.526349911450857,-2089.487500792,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
10,11,1,1,1,0.126259729,3.4357022531327717,-2089.48669443,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
11,12,1,1,1,0.125506875,3.415216052151935,-2089.487559341,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
12,13,1,1,1,0.126436718,3.440518369173063,-2089.488651085,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
13,14,1,1,1,0.126199411,3.4340609167371867,-2089.488465313,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
14,15,1,1,1,0.12568615,3.4200943734211844,-2089.488174449,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
15,16,1,1,1,0.125496515,3.4149341421904267,-2089.488312263,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
16,17,1,1,1,0.125911397,3.426223656538935,-2089.488882023,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
17,18,1,1,1,0.126054231,3.4301103676819937,-2089.489020618,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
18,19,1,1,1,0.125955816,3.427432359104595,-2089.488919757,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
19,20,1,1,1,0.126154164,3.432829683143715,-2089.4886765,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
20,21,1,1,1,0.126286439,3.4364290692594026,-2089.488505382,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
21,22,1,1,1,0.126332199,3.437674262294019,-2089.488679473,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
22,23,1,1,1,0.126029562,3.429439089994692,-2089.488538375,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
23,24,1,1,1,0.125965958,3.4277083369839016,-2089.488820109,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
24,25,1,1,1,0.12601069,3.4289255567134576,-2089.488909336,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
25,26,1,1,1,0.125957507,3.427478373558737,-2089.489044277,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
26,27,1,1,1,0.126142992,3.4325256775365744,-2089.488922261,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
27,28,1,1,1,0.126438694,3.440572138872285,-2089.488589779,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
28,29,1,1,1,0.12648474,3.4418251143633682,-2089.488587578,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
29,30,1,1,1,0.126571741,3.444192532178155,-2089.488465023,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
30,31,1,1,1,0.126524909,3.442918168537483,-2089.488048502,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
31,32,1,1,1,0.126407902,3.4397342458669984,-2089.487949986,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
32,33,1,1,1,0.126409741,3.439784287606305,-2089.488005011,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
33,34,1,1,1,0.126540459,3.443341305593608,-2089.487812331,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
34,35,1,1,1,0.126457515,3.441084284372821,-2089.48776402,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
35,36,1,1,1,0.126289651,3.4365164722320247,-2089.48773437,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
36,37,1,1,1,0.126223491,3.43471616691799,-2089.487553369,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
37,38,1,1,1,0.126192779,3.433880450823603,-2089.48769662,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
38,39,1,1,1,0.126188021,3.433750979047845,-2089.487756995,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
39,40,1,1,1,0.126191533,3.4338465454363405,-2089.487716663,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
40,41,1,1,1,0.126180821,3.4335550570668736,-2089.487712374,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
41,42,1,1,1,0.126154378,3.4328355063803713,-2089.48768572,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
42,43,1,1,1,0.126175635,3.433413938817802,-2089.48772516,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
43,43,1,1,1,0.126169728,3.433253201159247,-2089.48771966,no,RDB_LMMP_S1_CH2Cl2.cispre.singlet.iroot1
